race_cat,race,age_bin,age_cat,date,date_start,age,pop,all_covid,all_pop,covid_prop,pop_prop,week_from_start,lm_mean,lm_se,lm_lower,lm_upper
Asian,asian,40-64,40 to 64,2020-03-10,2020-03-04,40,1994572,0,12211353,0,0.16333751059362545,1,0.16531461902214506,0.024824536215922025,0.11665852803893789,0.21397071000535223
Asian,asian,40-64,40 to 64,2020-03-17,2020-03-11,40,1994875,4,12210494,0,0.16337381599794407,2,0.1529584924480226,0.021433404104858136,0.11094902040250065,0.19496796449354453
Asian,asian,40-64,40 to 64,2020-03-24,2020-03-18,40,1995179,20,12209635,0.25,0.1634102084132736,3,0.14161015452493642,0.018428931086981928,0.10548944959445183,0.177730859455421
Asian,asian,40-64,40 to 64,2020-03-31,2020-03-25,40,1995482,33,12208775,0.21212121212121213,0.16344653742902135,4,0.13122273248595773,0.01579485084655698,0.10026482482670604,0.16218064014520941
Asian,asian,40-64,40 to 64,2020-04-07,2020-04-01,40,1995785,68,12207917,0.10294117647058823,0.16348284478015374,5,0.12175035098553297,0.013516575926632798,0.09525786216933269,0.14824283980173325
Asian,asian,40-64,40 to 64,2020-04-14,2020-04-08,40,1996089,111,12207057,0.09009009009009009,0.16351926594591965,6,0.11314813209948373,0.011580797951565152,0.09044976811441603,0.13584649608455143
Asian,asian,40-64,40 to 64,2020-04-21,2020-04-15,40,1996393,90,12206199,0.1111111111111111,0.16355566544507427,7,0.10537219532500688,0.009974368899533858,0.08582243228192052,0.12492195836809325
Asian,asian,40-64,40 to 64,2020-04-28,2020-04-22,40,1996696,94,12205340,0.11702127659574468,0.1635920015337549,8,0.09837965758067461,0.008682059218194284,0.08136282151301381,0.11539649364833542
Asian,asian,40-64,40 to 64,2020-05-05,2020-04-29,40,1997000,90,12204481,0.06666666666666667,0.16362842467451094,9,0.09212863320643423,0.007683117102110912,0.07706972368629685,0.10718754272657162
Asian,asian,40-64,40 to 64,2020-05-12,2020-05-06,40,1997304,104,12203621,0.0673076923076923,0.16366486635401084,10,0.08657823396360835,0.006947586468738975,0.07296096448487996,0.10019550344233674
Asian,asian,40-64,40 to 64,2020-05-19,2020-05-13,40,1997606,97,12202763,0.07216494845360824,0.1637011224425157,11,0.08168856903489481,0.006434668109332966,0.0690766195406022,0.09430051852918743
Asian,asian,40-64,40 to 64,2020-05-26,2020-05-20,40,1997910,103,12201905,0.1262135922330097,0.1637375475386835,12,0.07742074502436665,0.0060953179506240554,0.06547392184114349,0.0893675682075898
Asian,asian,40-64,40 to 64,2020-06-02,2020-05-27,40,1998214,108,12201046,0.07407407407407407,0.16377399118075614,13,0.07373686595747223,0.005878669140724914,0.062214674441651394,0.08525905747329306
Asian,asian,40-64,40 to 64,2020-06-09,2020-06-03,40,1998518,122,12200186,0.06557377049180328,0.16381045338161238,14,0.07060003328103504,0.005739029426140017,0.0593515356058006,0.08184853095626947
Asian,asian,40-64,40 to 64,2020-06-16,2020-06-10,40,1998820,100,12199328,0.05,0.16384672991823812,15,0.0679743458632539,0.005640311086882778,0.05691933613296366,0.07902935559354415
Asian,asian,40-64,40 to 64,2020-06-23,2020-06-17,40,1999125,120,12198469,0.05,0.1638832709252284,16,0.06582489999370283,0.005557138150479633,0.05493290921876275,0.07671689076864291
Asian,asian,40-64,40 to 64,2020-06-30,2020-06-24,40,1999428,141,12197610,0.0425531914893617,0.16391965311237203,17,0.06411778938333108,0.00547370976549531,0.053389318242960275,0.07484626052370189
